"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","COLFAX","007","","","00000000","","HAYLAGE","HAYLAGE, (EXCL ALFALFA), IRRIGATED - OPERATIONS WITH AREA HARVESTED","TOTAL","NOT SPECIFIED","4","41.3"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","COLFAX","007","","","00000000","","HAYLAGE","HAYLAGE, IRRIGATED - ACRES HARVESTED","TOTAL","NOT SPECIFIED","202","13.5"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","COLFAX","007","","","00000000","","HAYLAGE","HAYLAGE, IRRIGATED - OPERATIONS WITH AREA HARVESTED","TOTAL","NOT SPECIFIED","4","31.6"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","COLFAX","007","","","00000000","","NECTARINES","NECTARINES - ACRES BEARING & NON-BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","COLFAX","007","","","00000000","","NECTARINES","NECTARINES - ACRES NON-BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","COLFAX","007","","","00000000","","NECTARINES","NECTARINES - OPERATIONS WITH AREA BEARING & NON-BEARING","TOTAL","NOT SPECIFIED","2","39.7"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","COLFAX","007","","","00000000","","NECTARINES","NECTARINES - OPERATIONS WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED","2","48.8"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","COLFAX","007","","","00000000","","NON-CITRUS TOTALS","NON-CITRUS TOTALS, (EXCL BERRIES) - ACRES BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","COLFAX","007","","","00000000","","NON-CITRUS TOTALS","NON-CITRUS TOTALS, (EXCL BERRIES) - ACRES BEARING & NON-BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2022","YEAR","","COUNTY","NEW MEXICO","35","NORTHEAST","30","COLFAX","007","","","00000000","","NON-CITRUS TOTALS","NON-CITRUS TOTALS, (EXCL BERRIES) - ACRES NON-BEARING","TOTAL","NOT SPECIFIED"," (D)","(D)"
