OBJECTID,Well_IDKey,Well_Name,Well_Depth,Well_Casing_Stickup,Well_Location_Latitude,Well_Location_Longitude,Well_Location_Elevation,Well_OSE_Permit,Well_Type,GlobalID,NMT_ID,IndexDesignation,AquiferCode,ScreenInterval,CreationDate,Creator,EditDate,Editor,x,y
68,18,Z - EMC NE 01,790,1.13,35.136284,-106.348362,7124.498,S-02676 POD 1,DOM,b148e942-debf-4250-a053-c677fb636399,BC-0027,Z,211MVRD,,2024-05-08T21:25:55,ccarsrud_EH,2025-06-03T14:27:43,pheinstein_NRS,-106.348362,35.136284
69,29,EMC NE 02,300,1.58,35.122116,-106.324505,6751.931,S-979,DOM,fbbdfbcf-d1ae-45de-b38b-54f4b4467252,BC-0038,M,318ABO,240 - 300,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T22:01:40,pheinstein_NRS,-106.324505,35.1221160000001
70,40,EMC NE 03,190,1.19,35.168842,-106.329829,6688.364,S-1900,DOM,5a6b4d1f-3e1e-4a20-8aa1-c92df2acf3a5,BC-0049,M,,,2024-05-08T21:25:55,ccarsrud_EH,2025-10-20T14:14:58,pheinstein_NRS,-106.329829,35.168842
71,52,EMC NE 05,360,1.67,35.167161,-106.331747,6702.908,S-2659 POD2,DOM,be1a27c0-4346-4726-a855-317d7578384d,BC-0068,Y,,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T22:03:47,pheinstein_NRS,-106.331747,35.1671610000001
72,53,EMC NE 06,100,1.37,35.169641,-106.331406,6701.248,S-1455,DOM,6961d384-608b-4bde-a290-c7089bb18efb,BC-0069,Y,,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T22:04:21,pheinstein_NRS,-106.331406,35.1696410000001
73,55,EMC NE 08,0,1.27,35.151189,-106.341208,6972.316,S-2546,DOM,1b6233ce-d6e8-4215-a7c5-a1c35191aab0,BC-0071,Y,,,2024-05-08T21:25:55,ccarsrud_EH,2025-06-02T14:18:38,pheinstein_NRS,-106.341208,35.151189
74,19,EMC NE 10,175,0.53,35.148022,-106.304186,6703.054,S-2066,DOM,76abdd92-3de0-4a7b-bd14-253840b4ab7b,BC-0028,Y,,,2024-05-08T21:25:55,ccarsrud_EH,2025-06-02T14:20:02,pheinstein_NRS,-106.304186,35.148022
75,22,EMC NE 13,320,1.78,35.151845,-106.306986,6708.788,S-1458,DOM,57889708-9b35-4ffc-b7b9-688a109bfcbe,BC-0031,Y,,,2024-05-08T21:25:55,ccarsrud_EH,2025-06-02T14:21:05,pheinstein_NRS,-106.306986,35.151845
76,23,EMC NE 14,220,1.1,35.150443,-106.282379,6869.408,S-1931,DOM,81301568-450c-4ab2-9cd5-b3cb7f1b6f8d,BC-0032,Y,325MDER,,2024-05-08T21:25:55,ccarsrud_EH,2025-06-02T14:22:54,pheinstein_NRS,-106.282379,35.1504430000001
77,24,EMC NE 15,225,0.81,35.148685,-106.282192,6850.227,S-2159,DOM,f9757ba6-49c2-4590-8abc-a3a96542aaea,BC-0033,Y,325MDER,,2024-05-08T21:25:55,ccarsrud_EH,2025-06-02T14:23:19,pheinstein_NRS,-106.282192,35.1486850000001
78,25,Z-EMC NE 16,160,1.5,35.091843,-106.379097,6476.12,S-624,DOM,ed27153d-43ad-42a1-a5a7-37bce6dcd03a,BC-0034,Z,,,2024-05-08T21:25:55,ccarsrud_EH,2025-05-30T20:29:48,pheinstein_NRS,-106.379097,35.091843
79,26,EMC NE 17,320,1.8,35.1455457475,-106.286498195,6811.27,S-0312,DOM,7f0b37a3-0d4e-4627-84c9-e69f28a474f9,BC-0035,Y,325MDER,,2024-05-08T21:25:55,ccarsrud_EH,2025-06-02T14:26:46,pheinstein_NRS,-106.286498195,35.1455457480001
80,27,EMC NE 18,350,0.8,35.109483,-106.340647,6776.558,S-569,DOM,a9c866c0-41fc-49ff-9bdf-ff540bb34e51,BC-0036,Y,318ABO,250 - 350,2024-05-08T21:25:55,ccarsrud_EH,2025-06-02T14:35:15,pheinstein_NRS,-106.340647,35.1094830000001
81,30,EMC NE 20,425,1.6,35.147862,-106.317594,6881.697,S-1368,DOM,bf4e0916-8ddd-4cf1-87e4-4c01d09190c2,BC-0039,Y,,,2024-05-08T21:25:55,ccarsrud_EH,2025-06-02T14:35:49,pheinstein_NRS,-106.317594,35.147862
82,31,EMC NE 21,500,0.92,35.136879,-106.288384,6849.19,S-0252,DOM,4f968d32-bdeb-49bb-bcec-681e8d876b64,BC-0040,Y,325MDER,,2024-05-08T21:25:55,ccarsrud_EH,2025-06-02T14:36:46,pheinstein_NRS,-106.288384,35.1368790000001
